            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458979.500000000, A.D. 2020-May-10 00:00:00.0000,  3.839751214201074E+09, -9.385310740706112E+09,  4.321421877763629E+08,
2458980.500000000, A.D. 2020-May-11 00:00:00.0000,  3.837741485284567E+09, -9.380706579558332E+09,  4.319368136333995E+08,
2458981.500000000, A.D. 2020-May-12 00:00:00.0000,  3.835731752448673E+09, -9.376102407723770E+09,  4.317314390710411E+08,
2458982.500000000, A.D. 2020-May-13 00:00:00.0000,  3.833722015690716E+09, -9.371498225188204E+09,  4.315260640884018E+08,
2458983.500000000, A.D. 2020-May-14 00:00:00.0000,  3.831712275007709E+09, -9.366894031936296E+09,  4.313206886847138E+08,
2458984.500000000, A.D. 2020-May-15 00:00:00.0000,  3.829702530396131E+09, -9.362289827951694E+09,  4.311153128593478E+08,
2458985.500000000, A.D. 2020-May-16 00:00:00.0000,  3.827692781851750E+09, -9.357685613217176E+09,  4.309099366118112E+08,
2458986.500000000, A.D. 2020-May-17 00:00:00.0000,  3.825683029369476E+09, -9.353081387714779E+09,  4.307045599417524E+08,
2458987.500000000, A.D. 2020-May-18 00:00:00.0000,  3.823673272943269E+09, -9.348477151426025E+09,  4.304991828489542E+08,
2458988.500000000, A.D. 2020-May-19 00:00:00.0000,  3.821663512566089E+09, -9.343872904332077E+09,  4.302938053333211E+08,
2458989.500000000, A.D. 2020-May-20 00:00:00.0000,  3.819653748229898E+09, -9.339268646413939E+09,  4.300884273948703E+08,
2458990.500000000, A.D. 2020-May-21 00:00:00.0000,  3.817643979925679E+09, -9.334664377652596E+09,  4.298830490337105E+08,
2458991.500000000, A.D. 2020-May-22 00:00:00.0000,  3.815634207643500E+09, -9.330060098029169E+09,  4.296776702500296E+08,
2458992.500000000, A.D. 2020-May-23 00:00:00.0000,  3.813624431372579E+09, -9.325455807525023E+09,  4.294722910440769E+08,
2458993.500000000, A.D. 2020-May-24 00:00:00.0000,  3.811614651101370E+09, -9.320851506121853E+09,  4.292669114161534E+08,
2458994.500000000, A.D. 2020-May-25 00:00:00.0000,  3.809604866817654E+09, -9.316247193801754E+09,  4.290615313665910E+08,
2458995.500000000, A.D. 2020-May-26 00:00:00.0000,  3.807595078508615E+09, -9.311642870547258E+09,  4.288561508957496E+08,
2458996.500000000, A.D. 2020-May-27 00:00:00.0000,  3.805585286160928E+09, -9.307038536341377E+09,  4.286507700040002E+08,
2458997.500000000, A.D. 2020-May-28 00:00:00.0000,  3.803575489760837E+09, -9.302434191167599E+09,  4.284453886917229E+08,
2458998.500000000, A.D. 2020-May-29 00:00:00.0000,  3.801565689294218E+09, -9.297829835009907E+09,  4.282400069592981E+08,
2458999.500000000, A.D. 2020-May-30 00:00:00.0000,  3.799555884746639E+09, -9.293225467852766E+09,  4.280346248071022E+08,
2459000.500000000, A.D. 2020-May-31 00:00:00.0000,  3.797546076103420E+09, -9.288621089681108E+09,  4.278292422355018E+08,
2459001.500000000, A.D. 2020-Jun-01 00:00:00.0000,  3.795536263349669E+09, -9.284016700480339E+09,  4.276238592448554E+08,
2459002.500000000, A.D. 2020-Jun-02 00:00:00.0000,  3.793526446470329E+09, -9.279412300236294E+09,  4.274184758355055E+08,
2459003.500000000, A.D. 2020-Jun-03 00:00:00.0000,  3.791516625450204E+09, -9.274807888935240E+09,  4.272130920077858E+08,
2459004.500000000, A.D. 2020-Jun-04 00:00:00.0000,  3.789506800273993E+09, -9.270203466563848E+09,  4.270077077620101E+08,
2459005.500000000, A.D. 2020-Jun-05 00:00:00.0000,  3.787496970926307E+09, -9.265599033109180E+09,  4.268023230984802E+08,
2459006.500000000, A.D. 2020-Jun-06 00:00:00.0000,  3.785487137391695E+09, -9.260994588558670E+09,  4.265969380174832E+08,
2459007.500000000, A.D. 2020-Jun-07 00:00:00.0000,  3.783477299654655E+09, -9.256390132900101E+09,  4.263915525192885E+08,
2459008.500000000, A.D. 2020-Jun-08 00:00:00.0000,  3.781467457699648E+09, -9.251785666121599E+09,  4.261861666041517E+08,
2459009.500000000, A.D. 2020-Jun-09 00:00:00.0000,  3.779457611511112E+09, -9.247181188211615E+09,  4.259807802723184E+08,
2459010.500000000, A.D. 2020-Jun-10 00:00:00.0000,  3.777447761073468E+09, -9.242576699158907E+09,  4.257753935240135E+08,
2459011.500000000, A.D. 2020-Jun-11 00:00:00.0000,  3.775437906371129E+09, -9.237972198952536E+09,  4.255700063594537E+08,
2459012.500000000, A.D. 2020-Jun-12 00:00:00.0000,  3.773428047388507E+09, -9.233367687581842E+09,  4.253646187788401E+08,
2459013.500000000, A.D. 2020-Jun-13 00:00:00.0000,  3.771418184110019E+09, -9.228763165036451E+09,  4.251592307823639E+08,
2459014.500000000, A.D. 2020-Jun-14 00:00:00.0000,  3.769408316520086E+09, -9.224158631306253E+09,  4.249538423702035E+08,
2459015.500000000, A.D. 2020-Jun-15 00:00:00.0000,  3.767398444603147E+09, -9.219554086381390E+09,  4.247484535425248E+08,
2459016.500000000, A.D. 2020-Jun-16 00:00:00.0000,  3.765388568343651E+09, -9.214949530252268E+09,  4.245430642994881E+08,
2459017.500000000, A.D. 2020-Jun-17 00:00:00.0000,  3.763378687726068E+09, -9.210344962909525E+09,  4.243376746412368E+08,
2459018.500000000, A.D. 2020-Jun-18 00:00:00.0000,  3.761368802734886E+09, -9.205740384344046E+09,  4.241322845679097E+08,
2459019.500000000, A.D. 2020-Jun-19 00:00:00.0000,  3.759358913354618E+09, -9.201135794546946E+09,  4.239268940796347E+08,
2459020.500000000, A.D. 2020-Jun-20 00:00:00.0000,  3.757349019569798E+09, -9.196531193509563E+09,  4.237215031765304E+08,
2459021.500000000, A.D. 2020-Jun-21 00:00:00.0000,  3.755339121364988E+09, -9.191926581223469E+09,  4.235161118587074E+08,
2459022.500000000, A.D. 2020-Jun-22 00:00:00.0000,  3.753329218724777E+09, -9.187321957680445E+09,  4.233107201262674E+08,
2459023.500000000, A.D. 2020-Jun-23 00:00:00.0000,  3.751319311633776E+09, -9.182717322872492E+09,  4.231053279793057E+08,
2459024.500000000, A.D. 2020-Jun-24 00:00:00.0000,  3.749309400076632E+09, -9.178112676791826E+09,  4.228999354179101E+08,
2459025.500000000, A.D. 2020-Jun-25 00:00:00.0000,  3.747299484038017E+09, -9.173508019430872E+09,  4.226945424421573E+08,
